participant,condition,char,RT
AMS_04142025,D_fast,C,169
AMS_04142025,ND_fast,C,422
APM_04072025,D_fast,C,453
APM_04072025,ND_fast,C,591
ARI_04162025,D_fast,C,372
ARI_04162025,ND_fast,C,476
CJG_03242025,D_fast,C,265
CJG_03242025,ND_fast,C,606
CKM_04162025,D_fast,C,407
CKM_04162025,ND_fast,C,483
CLE_03272025,D_fast,C,422
CLE_03272025,ND_fast,C,541
EBZ_04182025,D_fast,C,292
EBZ_04182025,ND_fast,C,322
ESU_04182025,D_fast,C,226
ESU_04182025,ND_fast,C,552
JBO_04172025,D_fast,C,326
JBO_04172025,ND_fast,C,453
JCN_04192025,D_fast,C,261
JCN_04192025,ND_fast,C,407
JMY_03312025,D_fast,C,180
JMY_03312025,ND_fast,C,349
JPK_04182025,D_fast,C,242
JPK_04182025,ND_fast,C,476
JWG_03272025,D_fast,C,303
JWG_03272025,ND_fast,C,422
JXI_04182025,D_fast,C,284
JXI_04182025,ND_fast,C,284
KCA_04072025,D_fast,C,199
KCA_04072025,ND_fast,C,345
KHT_04072025,D_fast,C,261
KHT_04072025,ND_fast,C,629
KSN_04042025,D_fast,C,280
KSN_04042025,ND_fast,C,456
MAO_04192025,D_fast,C,376
MAO_04192025,ND_fast,C,418
MHE_04032025,D_fast,C,299
MHE_04032025,ND_fast,C,790
MSN_04092025,D_fast,C,453
MSN_04092025,ND_fast,C,813
NMS_04112025,D_fast,C,361
NMS_04112025,ND_fast,C,453
OMY_04202025,D_fast,C,372
OMY_04202025,ND_fast,C,533
TCO_03272025,D_fast,C,384
TCO_03272025,ND_fast,C,633
YWG_03262025,D_fast,C,211
YWG_03262025,ND_fast,C,614
AMS_04142025,D_fast,E,522
AMS_04142025,ND_fast,E,1200
APM_04072025,D_fast,E,729
APM_04072025,ND_fast,E,997
ARI_04162025,D_fast,E,644
ARI_04162025,ND_fast,E,1109
CJG_03242025,D_fast,E,560
CJG_03242025,ND_fast,E,1089
CKM_04162025,D_fast,E,648
CKM_04162025,ND_fast,E,974
CLE_03272025,D_fast,E,694
CLE_03272025,ND_fast,E,1063
EBZ_04182025,D_fast,E,867
EBZ_04182025,ND_fast,E,1281
ESU_04182025,D_fast,E,641
ESU_04182025,ND_fast,E,1109
JBO_04172025,D_fast,E,690
JBO_04172025,ND_fast,E,1132
JCN_04192025,D_fast,E,614
JCN_04192025,ND_fast,E,1228
JMY_03312025,D_fast,E,529
JMY_03312025,ND_fast,E,798
JPK_04182025,D_fast,E,675
JPK_04182025,ND_fast,E,1059
JWG_03272025,D_fast,E,595
JWG_03272025,ND_fast,E,986
JXI_04182025,D_fast,E,479
JXI_04182025,ND_fast,E,825
KCA_04072025,D_fast,E,644
KCA_04072025,ND_fast,E,1147
KHT_04072025,D_fast,E,648
KHT_04072025,ND_fast,E,1339
KSN_04042025,D_fast,E,579
KSN_04042025,ND_fast,E,1097
MAO_04192025,D_fast,E,771
MAO_04192025,ND_fast,E,997
MHE_04032025,D_fast,E,802
MHE_04032025,ND_fast,E,1235
MSN_04092025,D_fast,E,625
MSN_04092025,ND_fast,E,1128
NMS_04112025,D_fast,E,614
NMS_04112025,ND_fast,E,867
OMY_04202025,D_fast,E,744
OMY_04202025,ND_fast,E,1895
TCO_03272025,D_fast,E,783
TCO_03272025,ND_fast,E,1132
YWG_03262025,D_fast,E,683
YWG_03262025,ND_fast,E,1228
AMS_04142025,D_fast,F,422
AMS_04142025,ND_fast,F,813
APM_04072025,D_fast,F,537
APM_04072025,ND_fast,F,882
ARI_04162025,D_fast,F,545
ARI_04162025,ND_fast,F,928
CJG_03242025,D_fast,F,476
CJG_03242025,ND_fast,F,978
CKM_04162025,D_fast,F,518
CKM_04162025,ND_fast,F,583
CLE_03272025,D_fast,F,476
CLE_03272025,ND_fast,F,802
EBZ_04182025,D_fast,F,610
EBZ_04182025,ND_fast,F,913
ESU_04182025,D_fast,F,541
ESU_04182025,ND_fast,F,909
JBO_04172025,D_fast,F,483
JBO_04172025,ND_fast,F,848
JCN_04192025,D_fast,F,491
JCN_04192025,ND_fast,F,675
JMY_03312025,D_fast,F,364
JMY_03312025,ND_fast,F,618
JPK_04182025,D_fast,F,499
JPK_04182025,ND_fast,F,713
JWG_03272025,D_fast,F,556
JWG_03272025,ND_fast,F,775
JXI_04182025,D_fast,F,453
JXI_04182025,ND_fast,F,760
KCA_04072025,D_fast,F,506
KCA_04072025,ND_fast,F,798
KHT_04072025,D_fast,F,503
KHT_04072025,ND_fast,F,1024
KSN_04042025,D_fast,F,510
KSN_04042025,ND_fast,F,1036
MAO_04192025,D_fast,F,644
MAO_04192025,ND_fast,F,882
MHE_04032025,D_fast,F,614
MHE_04032025,ND_fast,F,905
MSN_04092025,D_fast,F,595
MSN_04092025,ND_fast,F,840
NMS_04112025,D_fast,F,560
NMS_04112025,ND_fast,F,798
OMY_04202025,D_fast,F,545
OMY_04202025,ND_fast,F,974
TCO_03272025,D_fast,F,583
TCO_03272025,ND_fast,F,737
YWG_03262025,D_fast,F,460
YWG_03262025,ND_fast,F,967
AMS_04142025,D_fast,H,395
AMS_04142025,ND_fast,H,840
APM_04072025,D_fast,H,499
APM_04072025,ND_fast,H,871
ARI_04162025,D_fast,H,526
ARI_04162025,ND_fast,H,817
CJG_03242025,D_fast,H,506
CJG_03242025,ND_fast,H,1024
CKM_04162025,D_fast,H,487
CKM_04162025,ND_fast,H,752
CLE_03272025,D_fast,H,468
CLE_03272025,ND_fast,H,829
EBZ_04182025,D_fast,H,579
EBZ_04182025,ND_fast,H,748
ESU_04182025,D_fast,H,506
ESU_04182025,ND_fast,H,767
JBO_04172025,D_fast,H,506
JBO_04172025,ND_fast,H,806
JCN_04192025,D_fast,H,445
JCN_04192025,ND_fast,H,871
JMY_03312025,D_fast,H,422
JMY_03312025,ND_fast,H,917
JPK_04182025,D_fast,H,437
JPK_04182025,ND_fast,H,832
JWG_03272025,D_fast,H,499
JWG_03272025,ND_fast,H,798
JXI_04182025,D_fast,H,391
JXI_04182025,ND_fast,H,690
KCA_04072025,D_fast,H,449
KCA_04072025,ND_fast,H,905
